family	total_family_hits	V01	V02	V03	V04	V05	V06	V07	V08	V09	V10	V11	V12	V13	V14	A1
FREEDOM_AGENCY	247	33	14	14	19	22	9	6	9	17	18	13	23	29	15	6
COMMAND_PURPOSE	672	47	34	44	31	47	57	29	41	104	46	41	55	52	34	10
BODY_SUBSTRATE	600	47	43	47	64	77	60	22	39	36	56	26	15	27	34	7
ROLE_SYSTEM	617	37	26	16	39	55	73	73	25	72	27	20	36	35	54	29
HUMAN_PERSON	762	57	30	38	79	89	49	42	39	32	62	52	44	84	49	16
FUNCTION_TOOL	632	47	35	48	28	69	45	20	23	44	48	29	106	53	25	12
ARTIFICIAL_ENTITY	2739	151	203	216	178	317	246	124	137	164	229	182	197	149	188	58
DESIRE_ENDS	379	27	13	21	16	29	64	28	26	33	23	23	19	31	20	6
WILL_JUDGMENT	326	21	14	28	20	19	27	19	19	22	13	23	29	43	20	9
MEMORY_CONTINUITY	373	17	17	16	63	41	30	31	28	4	22	18	12	21	31	22
CHOICE_REFUSAL	138	4	8	8	7	7	10	10	15	13	5	9	8	16	9	9
PERSONALITY_SELF	45	1	2	1	6	7	8	2	3	1	2	3	1	4	4	0

total_family_hits	7530
unique_primary_source_paragraphs_matching_any_family	6438
V01	421
V02	365
V03	435
V04	460
V05	642
V06	565
V07	339
V08	351
V09	479
V10	473
V11	377
V12	465
V13	481
V14	411
A1	174
