evidence_id	source	source_locator	prior_locator_id	short_japanese_anchor	quote_state	evidence_class	analytic_function	note
T10-E001	V01	memoir epigraph / p-001.xhtml ¶001	V01-L001	豚に人権を与えぬことを	EXACT_VERIFIED	NV/PT/LI	formal_status_rights_citizenship	01, 05, 12
T10-E002	V01	Ch.1 / p-005.xhtml ¶002	V01-L002	その戦場に、死者はいない	EXACT_VERIFIED	NV	institutional_comparative_control	01, 05
T10-E003	V01	Ch.1 / p-005.xhtml ¶083–086	V01-L003	人間ではないのだから` / `情報処理装置	EXACT_VERIFIED	PF/MI/LI	information_public_speech	05, 07, 08, 12
T10-E004	V01	Ch.1 / p-005.xhtml ¶211	V01-L005	誤ちを黙認するのは	EXACT_VERIFIED	CS	democracy_law_accountability	03, 05
T10-E005	V01	Ch.2 / p-007.xhtml ¶035	V01-L006	死んだ仲間を悼む自由も	EXACT_VERIFIED	NV	usable_freedom_self_government	05, 09
T10-E006	V01	Ch.3 / p-008.xhtml ¶127	V01-L009	より数が少なくて、弱い者に冷たい	EXACT_VERIFIED	CS	social_equality_race_othering	04, 05
T10-E007	V01	Ch.3 / p-008.xhtml ¶266	V01-L011	名前さえ、一回だって訊いたことがない	EXACT_VERIFIED	CS/LI	institutional_memory_archive	03, 04, 05, 10
T10-E008	V01	Ch.4 / p-010.xhtml ¶272	V01-L016	死んだでしょう、共和国は九年前に	EXACT_VERIFIED	CS	institutional_comparative_control	01, 05
T10-E009	V01	Ch.6 / p-014.xhtml ¶029	V01-L019	守らせるためではなく、死なせるために	EXACT_VERIFIED	NV/MI	expendability_exit_blocked_return	05, 07
T10-E010	V01	Ch.6 / p-014.xhtml ¶252–260	V01-L022	constitution / majority exchange	PARAPHRASE	CS/MI	democracy_law_accountability	05, 06
T10-E011	V02	Ch.1 / p-004.xhtml ¶056	V02-L003	共和国の化物め	EXACT_VERIFIED	CS/LI	social_equality_race_othering	06, 09, 12
T10-E012	V02	Ch.2 / p-005.xhtml ¶371–373	V02-L014	それじゃ共和国と同じじゃないか	EXACT_VERIFIED	CS/MI	institutional_comparative_control	06, 08
T10-E013	V02	Ch.2 / p-005.xhtml ¶385	V02-L015	今日から連邦市民	EXACT_VERIFIED	PF	formal_status_rights_citizenship	06
T10-E014	V02	Ch.2 / p-005.xhtml ¶420–423	V02-L017	first ordinary peaceful multiethnic city	PARAPHRASE	NV/BA	social_equality_race_othering	06, 09
T10-E015	V02	Ch.3 / p-006.xhtml ¶077–080	V02-L020	civilian activities / `もうエイティシックスなどではない	PARAPHRASE + EXACT_ANCHOR	NV	social_equality_race_othering	06, 09
