family	total_family_hits	V01	V02	V03	V04	V05	V06	V07	V08	V09	V10	V11	V12	V13	V14	A1
KAERU	528	36	21	57	26	19	46	15	25	29	48	42	23	84	28	29
MODORU	352	0	1	1	21	23	27	25	30	17	27	32	34	30	49	35
MATSU	370	23	21	20	18	23	33	17	22	30	19	15	29	42	27	31
LEFT_BEHIND	84	6	4	5	1	1	9	14	2	10	19	3	1	4	0	5
RETREAT	370	11	9	10	26	21	32	2	10	9	7	82	39	83	27	2
REFUSE	39	1	1	0	1	1	5	5	2	6	1	3	0	4	3	6
ABANDON	191	7	6	8	14	12	8	2	4	19	12	26	18	40	14	1
ESCAPE	352	0	0	0	21	15	19	20	24	29	5	70	33	84	21	11
CATCH_UP	86	1	3	14	7	3	7	3	5	2	2	6	9	9	11	4
HOMELAND	284	7	27	26	22	12	9	18	23	23	11	25	26	33	15	7

unique_primary_source_paragraphs_matching_any_family	2443
V01	90
V02	89
V03	132
V04	147
V05	120
V06	177
V07	113
V08	134
V09	163
V10	145
V11	278
V12	194
V13	362
V14	180
A1	119
