evidence_id	source	source_locator	prior_locator_id	short_japanese_anchor	quote_state	evidence_class	analytic_function	note
T08-E001	V01	Ch.1 / `p-005.xhtml ¶211`	V01-L005	誤ちを黙認するのは	EXACT_VERIFIED	CS	moral_response_boundary	Retained from canonical V2 locator after contextual rereading for T08.
T08-E002	V01	Ch.3 / `p-008.xhtml ¶153–158`	V01-L010	悪い人じゃない	EXACT_VERIFIED	CS/LI	moral_response_boundary	Retained from canonical V2 locator after contextual rereading for T08.
T08-E003	V01	Ch.3 / `p-008.xhtml ¶266`	V01-L011	名前さえ、一回だって訊いたことがない	EXACT_VERIFIED	CS/LI	moral_response_boundary	Retained from canonical V2 locator after contextual rereading for T08.
T08-E004	V01	Ch.5 / `p-012.xhtml ¶106`	V01-L017	幸せだった時を思い出せ	EXACT_VERIFIED	CS/BA	moral_response_boundary	Retained from canonical V2 locator after contextual rereading for T08.
T08-E005	V01	Ch.6 / `p-014.xhtml ¶084–090`	V01-L020	存在証明` / `登り方は選べる	EXACT_VERIFIED	CS	moral_response_boundary	Retained from canonical V2 locator after contextual rereading for T08.
T08-E006	V01	Ch.7 / `p-018.xhtml ¶316–334`	V01-L025	no childhood debt; `さよなら。兄さん	PARAPHRASE + EXACT_ANCHOR	NV/CS	moral_response_boundary	Retained from canonical V2 locator after contextual rereading for T08.
T08-E007	V01	Ch.7 / `p-018.xhtml ¶358`	V01-L027	……ごめんな	EXACT_VERIFIED	CS	moral_response_boundary	Retained from canonical V2 locator after contextual rereading for T08.
T08-E008	V01	Ch.7 / `p-018.xhtml ¶526`	V01-L029	花でも供えてくれませんか	EXACT_VERIFIED	CS	moral_response_boundary	Retained from canonical V2 locator after contextual rereading for T08.
T08-E009	V01	item/xhtml/p-014.xhtml ¶71	NEW_DIRECT_SOURCE_RETRIEVAL	「復讐ってのは、実のところ難しい話じゃねぇ。戦わなけりゃそれでいい。〈レギオン〉どもを素通しにしてやりゃ、……まァ、俺達も死ぬが、共和国もそれで終わりだ。ブタどもが皆殺しになってざまあねぇって、思わなくもねぇさ」	EXACT_VERIFIED	CS/NV/PF	revenge_nonrevenge	Raiden identifies nonparticipation as an available revenge path without endorsing it.
T08-E010	V01	item/xhtml/p-014.xhtml ¶77	NEW_DIRECT_SOURCE_RETRIEVAL	「手前ェのしたことを心底思い知って、後悔して這いつくばって赦してくれって泣き喚いてんのをぶっ殺すんでもなきゃ、到底復讐にはならねえ。……けど、これだけ今まで恥知らずな真似ばっかりしてきやがった白ブタどもが、今更反乱だの皆殺しだの程度で反省なんかするわけもねえだろ。手前ェの無能と無策は棚に上げて、他の誰かの無能と無策を罵りながら悲劇の主人公気取って、被害者面してくたばるだけだ。……そんなクズどもの自己陶酔のために、誰が同じものに成り下がってやるものかよ」	EXACT_VERIFIED	CS/NV/PF	revenge_nonrevenge	Raiden rejects becoming morally like the oppressor even when imagining revenge.
T08-E011	V02	Ch.1 / `p-004.xhtml ¶337`	V02-L005	悪い。……ありがとう	EXACT_VERIFIED	CS	moral_response_boundary	Retained from canonical V2 locator after contextual rereading for T08.
T08-E012	V02	Ch.2 / `p-005.xhtml ¶231`	V02-L010	ごめんな。痛かったよな	EXACT_VERIFIED	CS	moral_response_boundary	Retained from canonical V2 locator after contextual rereading for T08.
T08-E013	V02	Ch.2 / `p-005.xhtml ¶266`	V02-L012	本当は──失いたくなんてなかった	EXACT_VERIFIED	NV/LI	moral_response_boundary	Retained from canonical V2 locator after contextual rereading for T08.
T08-E014	V02	Ch.2 / `p-005.xhtml ¶497`	V02-L019	人は常に、その人唯一つの存在	EXACT_VERIFIED	CS	moral_response_boundary	Retained from canonical V2 locator after contextual rereading for T08.
T08-E015	V02	Ch.3 / `p-006.xhtml ¶429–434`	V02-L028	哀れみの檻	EXACT_VERIFIED	CS/LI	grief_mourning	Retained from canonical V2 locator after contextual rereading for T08.
T08-E016	V02	Ch.3 / `p-006.xhtml ¶461`	V02-L030	今更見誤るような真似をするかよ	EXACT_VERIFIED	CS	moral_response_boundary	Retained from canonical V2 locator after contextual rereading for T08.
T08-E017	V02	Ch.4 / `p-007.xhtml ¶376–387`	V02-L034	名前、聞かなければよかったな` / `お人好しの死神	EXACT_ANCHOR	CS/LI	moral_response_boundary	Retained from canonical V2 locator after contextual rereading for T08.
T08-E018	V02	Ch.4 / `p-007.xhtml ¶509–513`	V02-L039	一方的な同情はむしろ理解の放棄	EXACT_VERIFIED	NV/LI	moral_response_boundary	Retained from canonical V2 locator after contextual rereading for T08.
T08-E019	V02	item/xhtml/p-006.xhtml ¶415	NEW_DIRECT_SOURCE_RETRIEVAL	戦友たちは立派に戦って死んでいったのに、自分だけがおめおめ生き残ってしまったと。それなのに自分だけ幸福にはなれないと、覚える必要のない罪悪感に打ちひしがれて嘆く元兵士達を、何人も見てきた。	EXACT_VERIFIED	CS/NV/PF	guilt_culpability	Ernst explicitly recognizes survivor guilt as a burden that need not be accepted as deserved.
T08-E020	V02	item/xhtml/p-006.xhtml ¶453	NEW_DIRECT_SOURCE_RETRIEVAL	「わらわの真名は、アウグスタ・フレデリカ・アデルアドラー。〈レギオン〉どもに号令し大陸全土に侵略を仕掛けた、大ギアーデ帝国、最後の女帝じゃ。……そなたらの親兄弟、故郷を奪った一人がわらわじゃ。責めると言うなら、聞いてやろうぞ」	EXACT_VERIFIED	CS/NV/PF	responsibility_scope	Frederica offers herself as responsible for imperial violence despite having been an infant.
T08-E021	V02	item/xhtml/p-006.xhtml ¶458	NEW_DIRECT_SOURCE_RETRIEVAL	「俺達から何もかも、奪っていきやがったのは共和国だ。それを今更見誤るような真似をするかよ。……みくびんな」	EXACT_VERIFIED	CS/NV/PF	responsibility_scope	Raiden rejects inherited blame by distinguishing infant Frederica from adult institutional perpetrators.
T08-E022	V03	Ch.8 / `p-010.xhtml ¶123`	V03-L032	お前の騎士を、言い訳にした	EXACT_VERIFIED	CS	moral_response_boundary	Retained from canonical V2 locator after contextual rereading for T08.
T08-E023	V03	Ch.9 / `p-011.xhtml ¶244`	V03-L036	引く覚悟はフレデリカ自身が決めるべき	EXACT_VERIFIED	NV	moral_response_boundary	Retained from canonical V2 locator after contextual rereading for T08.
T08-E024	V03	cemetery / `p-014.xhtml ¶058`	V03-L049	覚えている誰か	PARAPHRASE_WITH_VERIFIED_ANCHOR	NV	moral_response_boundary	Retained from canonical V2 locator after contextual rereading for T08.
