evidence_id	source	source_locator	prior_locator_id	short_japanese_anchor	quote_state	evidence_class	analytic_function	note
T06-E001	V01	item/xhtml/p-007.xhtml ¶14	NEW_DIRECT_SOURCE_RETRIEVAL	整備作業中の格納庫は、機械の作動音と整備クルーのやり取りの怒ど鳴なり声ごえでやかましい。格納庫前の広場で二対二の変則バスケットボールに興じる仲間達の歓かん声せいと、何ど処こかでかき鳴らされるギターの古いアニメソング。キャノピを開け放した自機のコクピットでポルノ誌を眺ながめていた隊員のキノが、こちらに…	EXACT_VERIFIED	BA/NV	pre_rescue_play	Sector adolescence includes sport, music, sexual curiosity and social noise inside a combat base.
T06-E002	V01	Ch.2 / `p-007.xhtml ¶170`	V01-L007	人生には菓子とかコーヒーとか	EXACT_VERIFIED	CS	food_domesticity	Retained from canonical deep-reading locator after contextual rereading for T06.
T06-E003	V01	Ch.6 / `p-014.xhtml ¶084–090`	V01-L020	存在証明` / `登り方は選べる	EXACT_VERIFIED	CS	capability_choice	Retained from canonical deep-reading locator after contextual rereading for T06.
T06-E004	V02	item/xhtml/p-006.xhtml ¶85	NEW_DIRECT_SOURCE_RETRIEVAL	ザンクト・イェデルに来て一か月。少年達はめいめいに、平和の楽しみ方を見つけ始めているらしい。ライデンはバイク便のアルバイトを始め、アンジュは料理教室に通い出して、セオはスケッチにあちこち出歩き、クレナはウィンドウショッピングを楽しみ、シンは気ままに図書館やら博物館やら回っている。それぞれに顔見知りや…	EXACT_VERIFIED	NV/BA	civilian_option_expansion	Courier work, cooking class, sketching, shopping, museums/libraries and new friendships demonstrate broad ordinary-life competence after rescue.
T06-E005	V02	Ch.3 / `p-006.xhtml ¶352–358`	V02-L025	ただの子供に戻って` / empty rooms	EXACT_ANCHOR	NV/SI	childhood_development	Retained from canonical deep-reading locator after contextual rereading for T06.
T06-E006	V02	Ch.3 / `p-006.xhtml ¶497–507`	V02-L031	選べる道はなるべく多い方がいい	EXACT_VERIFIED	CS	capability_choice	Retained from canonical deep-reading locator after contextual rereading for T06.
T06-E007	V02	Ch.5 / `p-008.xhtml ¶394`	V02-L047	本当の意味では抜け出していなかった	EXACT_VERIFIED	NV/LI	leisure_ordinary_practice	Retained from canonical deep-reading locator after contextual rereading for T06.
T06-E008	V03	prologue / `p-002.xhtml ¶011–015`	V03-L002	エイティシックスが死ぬのは当たり前だ` / `慣れざるを得なかった	EXACT_VERIFIED	NV	future_and_ordinary_life	Retained from canonical deep-reading locator after contextual rereading for T06.
T06-E009	V03	Ch.6 / `p-006.xhtml ¶029–030`	V03-L009	今は選んでこの戦場にいる` / `進む道を選べる	EXACT_VERIFIED	NV	capability_choice	Retained from canonical deep-reading locator after contextual rereading for T06.
T06-E010	V03	Ch.8 / `p-010.xhtml ¶102`	V03-L028	あの夜から本当は何も、望めてはいない	EXACT_VERIFIED	CS	leisure_ordinary_practice	Retained from canonical deep-reading locator after contextual rereading for T06.
T06-E011	V03	cemetery / `p-014.xhtml ¶085`	V03-L051	見たいとは...思わない。でも、海を見せたい	EXACT_VERIFIED	CS	travel_mobility	Retained from canonical deep-reading locator after contextual rereading for T06.
T06-E012	V04	prologue / `p-002.xhtml ¶6`	V04-L002	よく笑う、明るい子だった。	EXACT_VERIFIED	NV	leisure_ordinary_practice	Retained from canonical deep-reading locator after contextual rereading for T06.
T06-E013	V04	Ch.1 / `p-005.xhtml ¶371`	V04-L004	八六区でも八六区なりに、楽しみが	EXACT_VERIFIED	CS	leisure_ordinary_practice	Retained from canonical deep-reading locator after contextual rereading for T06.
T06-E014	V04	ending / `p-012.xhtml ¶213–214`	V04-L043	未来の幸福も思い描けない	PARAPHRASE + EXACT_ANCHOR	SI/IT	future_vocation	Retained from canonical deep-reading locator after contextual rereading for T06.
T06-E015	V05	Ch.3 / `p-006.xhtml ¶682`	V05-L023	未来などない。課された役目しかない	EXACT_VERIFIED	CS/LI	future_vocation	Retained from canonical deep-reading locator after contextual rereading for T06.
T06-E016	V05	Ch.4 / `p-007.xhtml ¶186`	V05-L032	いつか幸せになりたいくせに	EXACT_VERIFIED	CS/LI	future_vocation	Retained from canonical deep-reading locator after contextual rereading for T06.
T06-E017	V05	epilogue / `p-010.xhtml ¶40–48`	V05-L048	笑いながら死に急ぐ狂気` / `無意味に、死にに	EXACT_VERIFIED	NV/LI	leisure_ordinary_practice	Retained from canonical deep-reading locator after contextual rereading for T06.
T06-E018	V06	p-004 ¶696	V06-L017	海を、見せたいと望んだ。──彼女を通してしか、未だ自分は未来を望めない。	EXACT_VERIFIED	NV	future_vocation	Retained from canonical deep-reading locator after contextual rereading for T06.
T06-E019	V06	p-005 ¶344	V06-L030	子供なんだろうと、ちらりと思った。	EXACT_VERIFIED	SI/IT	childhood_development	Retained from canonical deep-reading locator after contextual rereading for T06.
T06-E020	V06	p-005 ¶850	V06-L034	「……本部で、待機しているか」	EXACT_VERIFIED	CS/MI	leisure_ordinary_practice	Retained from canonical deep-reading locator after contextual rereading for T06.
T06-E021	V06	p-006 ¶813	V06-L038	「貴女に海を見せたい。見たことのない景色を。戦争が終わらなければ、見られない...	EXACT_VERIFIED	CS/LI	future_vocation	Retained from canonical deep-reading locator after contextual rereading for T06.
