evidence_id	source	source_locator	prior_locator_id	short_japanese_anchor	quote_state	evidence_class	analytic_function	note
T11-E001	V01	memoir epigraph / p-001.xhtml ¶001	V01-L001	豚に人権を与えぬことを	EXACT_VERIFIED	NV/PT/LI	legal_denaturalization_and_nonpersonhood	01, 05, 12
T11-E002	V01	Ch.1 / p-005.xhtml ¶002	V01-L002	その戦場に、死者はいない	EXACT_VERIFIED	NV	genocide_erasure_and_archive	01, 05
T11-E003	V01	Ch.1 / p-005.xhtml ¶083–086	V01-L003	人間ではないのだから` / `情報処理装置	EXACT_VERIFIED	PF/MI/LI	legal_denaturalization_and_nonpersonhood	05, 07, 08, 12
T11-E004	V01	Ch.1 / p-005.xhtml ¶139–144	V01-L004	言葉は、便利だ。	EXACT_VERIFIED	NV/LI	dehumanizing_and_instrumental_language	05, 12
T11-E005	V01	Ch.1 / p-005.xhtml ¶211	V01-L005	誤ちを黙認するのは	EXACT_VERIFIED	CS	anti_essentialism_and_individual_differentiation	03, 05
T11-E006	V01	Ch.2 / p-007.xhtml ¶035	V01-L006	死んだ仲間を悼む自由も	EXACT_VERIFIED	NV	genocide_erasure_and_archive	05, 09
T11-E007	V01	Ch.3 / p-008.xhtml ¶127	V01-L009	より数が少なくて、弱い者に冷たい	EXACT_VERIFIED	CS	anti_essentialism_and_individual_differentiation	04, 05
T11-E008	V01	Ch.3 / p-008.xhtml ¶153–158	V01-L010	悪い人じゃない	EXACT_VERIFIED	CS/LI	anti_essentialism_and_individual_differentiation	03, 04, 12
T11-E009	V01	Ch.3 / p-008.xhtml ¶266	V01-L011	名前さえ、一回だって訊いたことがない	EXACT_VERIFIED	CS/LI	genocide_erasure_and_archive	03, 04, 05, 10
T11-E010	V01	Ch.4 / p-010.xhtml ¶272	V01-L016	死んだでしょう、共和国は九年前に	EXACT_VERIFIED	CS	genocide_erasure_and_archive	01, 05
T11-E011	V01	Ch.6 / p-014.xhtml ¶029	V01-L019	守らせるためではなく、死なせるために	EXACT_VERIFIED	NV/MI	disposability_and_utility	05, 07
T11-E012	V01	Ch.6 / p-014.xhtml ¶247	V01-L021	存在しなかったこと	EXACT_VERIFIED	CS/MI	genocide_erasure_and_archive	05
T11-E013	V01	Ch.6 / p-014.xhtml ¶252–260	V01-L022	constitution / majority exchange	PARAPHRASE	CS/MI	genocide_erasure_and_archive	05, 06
T11-E014	V02	Ch.1 / p-004.xhtml ¶056	V02-L003	共和国の化物め	EXACT_VERIFIED	CS/LI	dehumanizing_and_instrumental_language	06, 09, 12
T11-E015	V02	Ch.1 / p-004.xhtml ¶373	V02-L007	戦い狂いのエイティシックス	EXACT_VERIFIED	CS/LI	dehumanizing_and_instrumental_language	06, 09, 12
