evidence_id	source	source_locator	prior_locator_id	short_japanese_anchor	quote_state	evidence_class	analytic_function	note
T09-E001	V01	Ch.1 / p-005.xhtml ¶211	V01-L005	誤ちを黙認するのは	EXACT_VERIFIED	CS	relationship_agency_boundary	Retained from canonical V2 locator after contextual rereading for T09.
T09-E002	V01	Ch.2 / p-007.xhtml ¶468–471	V01-L008	考えたこともありませんね	EXACT_VERIFIED	CS/LI	relationship_agency_boundary	Retained from canonical V2 locator after contextual rereading for T09.
T09-E003	V01	Ch.3 / p-008.xhtml ¶153–158	V01-L010	悪い人じゃない	EXACT_VERIFIED	CS/LI	relationship_agency_boundary	Retained from canonical V2 locator after contextual rereading for T09.
T09-E004	V01	Ch.3 / p-008.xhtml ¶266	V01-L011	名前さえ、一回だって訊いたことがない	EXACT_VERIFIED	CS/LI	relationship_agency_boundary	Retained from canonical V2 locator after contextual rereading for T09.
T09-E005	V01	Ch.3 / p-008.xhtml ¶489	V01-L014	必ず生きて、帰らないと	EXACT_VERIFIED	CS	relational_return_belonging	Retained from canonical V2 locator after contextual rereading for T09.
T09-E006	V01	Ch.5 / p-012.xhtml ¶106	V01-L017	幸せだった時を思い出せ	EXACT_VERIFIED	CS/BA	relationship_agency_boundary	Retained from canonical V2 locator after contextual rereading for T09.
T09-E007	V01	Ch.5 / p-012.xhtml ¶119	V01-L018	シンの心は、一体誰が預かって	EXACT_VERIFIED	NV/SI	relationship_agency_boundary	Retained from canonical V2 locator after contextual rereading for T09.
T09-E008	V01	Ch.6 / p-014.xhtml ¶029	V01-L019	守らせるためではなく、死なせるために	EXACT_VERIFIED	NV/MI	protection_rescue_boundary	Retained from canonical V2 locator after contextual rereading for T09.
T09-E009	V01	Ch.6 / p-014.xhtml ¶084–090	V01-L020	存在証明` / `登り方は選べる	EXACT_VERIFIED	CS	decision_refusal_self_government	Retained from canonical V2 locator after contextual rereading for T09.
T09-E010	V01	Ch.6 / p-014.xhtml ¶296	V01-L023	どこに、ですか？	EXACT_VERIFIED	CS/LI	relationship_agency_boundary	Retained from canonical V2 locator after contextual rereading for T09.
T09-E011	V01	Ch.6 / p-014.xhtml ¶307	V01-L024	死にに行くのではありません	EXACT_VERIFIED	CS	relationship_agency_boundary	Retained from canonical V2 locator after contextual rereading for T09.
T09-E012	V02	Ch.2 / p-005.xhtml ¶322–328	V02-L013	死ぬつもりはなくても、必ず死ぬ	EXACT_VERIFIED	CS	relationship_agency_boundary	Retained from canonical V2 locator after contextual rereading for T09.
T09-E013	V02	Ch.2 / p-005.xhtml ¶371–373	V02-L014	それじゃ共和国と同じじゃないか	EXACT_VERIFIED	CS/MI	relationship_agency_boundary	Retained from canonical V2 locator after contextual rereading for T09.
T09-E014	V02	Ch.2 / p-005.xhtml ¶463–467	V02-L018	愛玩動物` / substitute family critique	EXACT_ANCHOR	CS	relationship_agency_boundary	Retained from canonical V2 locator after contextual rereading for T09.
