evidence_id	source	source_locator	prior_locator_id	short_japanese_anchor	quote_state	evidence_class	analytic_function	note
T07-E001	V01	item/xhtml/p-014.xhtml ¶193	NEW_DIRECT_SOURCE_RETRIEVAL	「言葉を伝えるものなんだから、動物じゃ実験にならないでしょ。エイティシックスは人間じゃないって言ったくせに、そういう時だけほんと都合がいいのよね。……すぐに結果を出さなきゃいけないからって、被ひ験けん者しやの安全度外視で研究は続いた。父さんはその指揮を執とらされた」	EXACT_VERIFIED	CS/PF	bodily_autonomy_consent	Republic dehumanization permits dangerous human experimentation while rhetorically denying the subjects are human.
T07-E002	V01	item/xhtml/p-014.xhtml ¶292	NEW_DIRECT_SOURCE_RETRIEVAL	特別偵てい察さつ任務はレーナに届くのと時を同じくしてスピアヘッド戦隊にも通達され、こちらは粛しゆく々しゆくと準備が進む。作戦にあたり空輸される物資の受領と整理。基地で用意するべき物資の確保。それらを輸送する〈スカベンジャー〉の選定。任務開始以降は専門の整備の見込めない〈ジャガーノート〉各機の入念な検査と整備。二度と帰らぬプロセッサー達の身辺整理。	EXACT_VERIFIED	NV/MI	institutional_disposability	Special Recon makes bodily nonreturn an administrative expectation, not merely battlefield risk.
T07-E003	V01	item/xhtml/p-018.xhtml ¶293	NEW_DIRECT_SOURCE_RETRIEVAL	共和国のクズどもが、使い潰つぶすだけでは飽あき足たらず、囮おとり代わりに諸共に吹き飛ばすつもりか！	EXACT_VERIFIED	CS/MI	institutional_disposability	Eighty-Six bodies are treated as consumable military stock.
T07-E004	V02	Ch.2 / `p-005.xhtml ¶231`	V02-L010	ごめんな。痛かったよな	EXACT_VERIFIED	CS	embodiment_function_standing	Retained from canonical V2 locator after contextual rereading for T07.
T07-E005	V02	Ch.3 / `p-006.xhtml ¶352–358`	V02-L025	ただの子供に戻って` / empty rooms	EXACT_ANCHOR	NV/SI	child_body_development	Retained from canonical V2 locator after contextual rereading for T07.
T07-E006	V02	Ch.5 / `p-008.xhtml ¶358–366`	V02-L046	警報装置` / `実験動物` / reporting channel	EXACT_ANCHOR	CS/MI	bodily_autonomy_consent	Retained from canonical V2 locator after contextual rereading for T07.
T07-E007	V02	item/xhtml/p-004.xhtml ¶17	NEW_DIRECT_SOURCE_RETRIEVAL	傷だらけの装甲強化外骨格アーマードスケルトンを纏まとい、一二・七ミリ重じゆう機き関かん銃じゆうを抱かかえて近接猟兵型グラウヴォルフに対たい峙じする装そう甲こう歩兵達が塹ざん壕ごうもろとも踏ふみ潰つぶされる。堅けん牢ろうな重複合装そう甲こうと強力無比な一二〇ミリ戦せん車しや砲ほうで武装した僚りよう機きの〈ヴァナルガンド〉が、唯ゆい一いつ埋うめ得えぬ機動性能差に翻ほん弄ろうされて撃…	EXACT_VERIFIED	NV/MI	embodied_military_limits	Human physiology sets real performance ceilings that technology cannot simply wish away.
T07-E008	V02	item/xhtml/p-004.xhtml ¶347	NEW_DIRECT_SOURCE_RETRIEVAL	連れ出しても無む駄だだとは見てわかったろうに軍服を駄だ目めにして、その上欠片かけらの痛みも感じないことからしてモルヒネも使ってくれている。助からない兵士に、貴重な鎮ちん痛つう剤ざいを。	EXACT_VERIFIED	NV/PF	pain_relief_dignity	Analgesia is given even when survival is impossible; pain relief is not conditioned on future utility.
T07-E009	V02	item/xhtml/p-005.xhtml ¶311	NEW_DIRECT_SOURCE_RETRIEVAL	『閣下。意識が戻もどったばかりですし、手術の影えい響きようで発熱もしています。あまり無理は……』	EXACT_VERIFIED	CS/PF	medical_recovery	Postoperative fever and clinician warning make recovery materially visible.
T07-E010	V02	item/xhtml/p-005.xhtml ¶348	NEW_DIRECT_SOURCE_RETRIEVAL	知覚同調パラレイドは、と疑念を覚えて不意に気づく。起動できない。首の後ろ、擬似神経結晶素子レイドデバイスをインプラントされていた場所の微かすかな疼とう痛つう。プロセッサー自身では外せないはずのイヤーカフも外されている。	EXACT_VERIFIED	NV/PF	body_memory_technology	Removed coercive technology leaves bodily trace and pain.
T07-E011	V02	item/xhtml/p-005.xhtml ¶384	NEW_DIRECT_SOURCE_RETRIEVAL	閉じ込められていることに目を瞑つぶれば、待たい遇ぐうは悪くない。食事は三度、まともなものが出されるし、部屋もベッドも要らないくらい清潔。個別に行われる事情聴ちよう取しゆも至し極ごく穏おん当とうなものだ。治ち療りようにしたところで、例えば緊きん急きゆう手術が必要なほどの重傷だったシンは、共和国だったらそのまま見捨てられていた。	EXACT_VERIFIED	NV/PF	institutional_medical_allocation	Giad treats an injury the Republic would have abandoned.
T07-E012	V03	Ch.6 / `p-005.xhtml ¶315`	V03-L005	戦闘神経症で大勢後送	EXACT_VERIFIED	PF/MI	medical_care_recovery	Retained from canonical V2 locator after contextual rereading for T07.
T07-E013	V03	item/xhtml/p-005.xhtml ¶198	NEW_DIRECT_SOURCE_RETRIEVAL	「顔色が悪いぞ。ここは君達がいた戦死者ゼロの戦場ではない。人が生き、人が戦う戦場だ。ここでは、休むべきだと判断する疲ひ労ろうや痛みの基準を、もう少し下げておけ。それらは警報だ。鈍にぶらせておく方が、本来は問題なのだ。……なに、その間は彼らが索さく敵てきをする」	EXACT_VERIFIED	CS/MI	self_instrumentalization_correction	The Federacy explicitly tells Shin that pain and fatigue are alarms, not thresholds to numb.
T07-E014	V03	item/xhtml/p-005.xhtml ¶333	NEW_DIRECT_SOURCE_RETRIEVAL	「兵の精神衛生を保つも軍の大事じゃ。実際、先の迎げい撃げき戦せんで、そなたらと同じ年とし頃ごろの特士士官やらは戦せん闘とう神しん経けい症しようで大勢後送されておる。ましてそなたらはエイティシックスじゃ。多少の考こう慮りよはされると思うがの」	EXACT_VERIFIED	CS/MI	trauma_medical_recognition	Giad treats combat-neurosis symptoms as reasons for medical removal rather than cowardice.
T07-E015	V03	item/xhtml/p-007.xhtml ¶311	NEW_DIRECT_SOURCE_RETRIEVAL	第二二五機き甲こう大隊、統制線ズィンクに到とう達たつ。友軍到とう着ちやくまで制圧範はん囲いを固守する。第四一七歩兵中隊、第一三九救護小隊がそちらに向かっている。負傷者後送の用意を。こちら第三二機き甲こう大隊、大隊指揮官が作戦中死亡ＫＩＡ。これより副長が指揮を執とる。第七七五歩兵中隊より第八二八砲ほう兵へい陣じん地ちへ、今すぐ砲ほう支し援えんを、ああ構わない、俺おれ達の上に落とせ…	EXACT_VERIFIED	CS/MI	medical_logistics	Evacuation of injured personnel is operationally built into the force.
T07-E016	V03	item/xhtml/p-014.xhtml ¶47	NEW_DIRECT_SOURCE_RETRIEVAL	兵員は一定の期間を越こえて戦せん闘とうに従事させていると、戦せん闘とう効率が極きよく端たんに落ちる。定期的な交代と休養の重要性を、かつて軍事国家として戦争に明け暮れた前身を持つ連れん邦ぽうは正しく理解している。束つかの間まとはいえ、しばらくは少年達に休息をとらせてやれるだろう。	EXACT_VERIFIED	NV/MI	rest_recovery	Rotation and rest are professional force-maintenance doctrine.
T07-E017	V04	Ch.1 / `p-005.xhtml ¶421`	V04-L005	味覚が鈍いらしいので	EXACT_VERIFIED	CS	sensory_neurological_cost	Retained from canonical V2 locator after contextual rereading for T07.
T07-E018	V04	item/xhtml/p-005.xhtml ¶428	NEW_DIRECT_SOURCE_RETRIEVAL	味覚はごく幼いうちに、食べつけた味を元に完成されるという。	EXACT_VERIFIED	NV/PF	sensory_development	Taste is introduced as a developmental bodily capacity before later deterioration is fully known.
T07-E019	V04	item/xhtml/p-005.xhtml ¶448	NEW_DIRECT_SOURCE_RETRIEVAL	「……味覚が鈍いらしいので」	EXACT_VERIFIED	CS	sensory_neurological_cost	Early taste dulling becomes a prospective marker rather than a retrospective V14 invention.
T07-E020	V04	item/xhtml/p-006.xhtml ¶38	NEW_DIRECT_SOURCE_RETRIEVAL	かつて知覚同調パラレイドの実用化のため、強制収容所で数多あまたのエイティシックスの子供たちが、人体実験に供されて死んでいったように。	EXACT_VERIFIED	NV/PF	bodily_autonomy_consent	Para-RAID development ties technological achievement to child-body exploitation.
