episode,season,episode_number,filename,drive_id,size_bytes,modified_time,drive_url,inventory_status,source_lock_status,sha256,zip_crc,schema_version,duration_seconds,cue_count,retained_frames,contact_sheets,component_contract,ja_subtitle,ja_subtitle_format,subtitle_metadata_warning
S01E01,1,1,LLS_s01e01_screenshots.zip,1HeVEEdz-v86ZnobEvWU4CUUdg36XIiJy,179969324,2026-08-12T01:28:44.000Z,../../../provenance/drive-artifacts/DRIVE_ARTIFACT_REFERENCE_INDEX.md#drive-ref-629e2b1a006cd90c
S01E02,1,2,LLS_s01e02_screenshots.zip,16DEglE_CoyKrvvAxAHiYqJUvDHI_TXjA,182490649,2026-08-12T01:28:55.000Z,../../../provenance/drive-artifacts/DRIVE_ARTIFACT_REFERENCE_INDEX.md#drive-ref-f926befa48f2c496
S01E03,1,3,LLS_s01e03_screenshots.zip,1JnR3TjTyx-fyTcip2ArVAKVgOuw85ks_,187403713,2026-08-12T01:29:08.000Z,../../../provenance/drive-artifacts/DRIVE_ARTIFACT_REFERENCE_INDEX.md#drive-ref-071964c41443ee75
S01E04,1,4,LLS_s01e04_screenshots.zip,1X2-3biFE5BMebRlNJ_VivpGdkU1szQDr,156091741,2026-08-12T02:17:37.000Z,../../../provenance/drive-artifacts/DRIVE_ARTIFACT_REFERENCE_INDEX.md#drive-ref-20a1061af38ebce8
S01E05,1,5,LLS_s01e05_screenshots.zip,1do9djhCfqcbEwWvgCSfhAykhwXLYSJCn,144116532,2026-08-12T02:17:47.000Z,../../../provenance/drive-artifacts/DRIVE_ARTIFACT_REFERENCE_INDEX.md#drive-ref-5664d94e7957bf01
S01E06,1,6,LLS_s01e06_screenshots.zip,1SgSAWMsrjEEktPYvqDVSUaP_r6QUpuN9,155091870,2026-08-12T02:17:57.000Z,../../../provenance/drive-artifacts/DRIVE_ARTIFACT_REFERENCE_INDEX.md#drive-ref-39028cc615f1c1a5
S01E07,1,7,LLS_s01e07_screenshots.zip,1Neds99bFZpYY4a9pTu8Nk_q5PUiICzf1,152125835,2026-08-12T06:45:28.000Z,../../../provenance/drive-artifacts/DRIVE_ARTIFACT_REFERENCE_INDEX.md#drive-ref-79623fcbf12043a5
S01E08,1,8,LLS_s01e08_screenshots.zip,1pcSoVSirmPgBVncK9HbTgC6IpPDCOJwx,158860172,2026-08-12T06:45:39.000Z,../../../provenance/drive-artifacts/DRIVE_ARTIFACT_REFERENCE_INDEX.md#drive-ref-bf925a2d5e826546
S01E09,1,9,LLS_s01e09_screenshots.zip,1sGmgP4eBfc7PLZ6SQHurdoGGwpYCOxmr,161494635,2026-08-12T06:45:51.000Z,../../../provenance/drive-artifacts/DRIVE_ARTIFACT_REFERENCE_INDEX.md#drive-ref-314665b7804d18b7
S01E10,1,10,LLS_s01e10_screenshots.zip,1V5V51v2nDPuV4ZUsovk1s5QZpskFjKSG,177180055,2026-08-12T06:46:03.000Z,../../../provenance/drive-artifacts/DRIVE_ARTIFACT_REFERENCE_INDEX.md#drive-ref-ab9bca7aa4fcd345
S01E11,1,11,LLS_s01e11_screenshots.zip,1HzPuRgfsjUWz6Hq7NP9s8tENKa6ksbvj,144192696,2026-08-12T06:46:13.000Z,../../../provenance/drive-artifacts/DRIVE_ARTIFACT_REFERENCE_INDEX.md#drive-ref-2689ce93feff9dd7
S01E12,1,12,LLS_s01e12_screenshots.zip,1Ll222TgyH2q7pzJaRpxjzeThuUfXgiZ2,182483968,2026-08-12T06:46:25.000Z,../../../provenance/drive-artifacts/DRIVE_ARTIFACT_REFERENCE_INDEX.md#drive-ref-e6b8641954db116a
S02E01,2,1,LLS_s02e01_screenshots.zip,1goKzmEq7jX9qm-5Fg_yH-6clbwmZQKQE,183443913,2026-08-12T06:46:38.000Z,../../../provenance/drive-artifacts/DRIVE_ARTIFACT_REFERENCE_INDEX.md#drive-ref-8ebfdcf09f21e6a8
S02E02,2,2,LLS_s02e02_screenshots.zip,1KoluHQ1mvXpH21OEGhxDX-YYoX5mXWex,165173046,2026-08-12T06:46:49.000Z,../../../provenance/drive-artifacts/DRIVE_ARTIFACT_REFERENCE_INDEX.md#drive-ref-12b83339f08b33a9
S02E03,2,3,LLS_s02e03_screenshots.zip,1wXlyly0sWv5pixAC3cbMUTjEg0JaAac8,170557491,2026-08-12T06:47:01.000Z,../../../provenance/drive-artifacts/DRIVE_ARTIFACT_REFERENCE_INDEX.md#drive-ref-6d0accc656948fc0
S02E04,2,4,LLS_s02e04_screenshots.zip,1Rbbr-Ac9LpuMy95nwqPE7PJA613p4M3G,156229197,2026-08-12T06:47:11.000Z,../../../provenance/drive-artifacts/DRIVE_ARTIFACT_REFERENCE_INDEX.md#drive-ref-4c7dbacf6f8f3f9c
