episode,filename,size_bytes,sha256,zip_crc,zip_files,schema_version,title,duration_seconds,cue_count,shot_change_count,shot_segment_count,retained_frames,contact_sheets,audio_file,ja_subtitle,ja_subtitle_format,selected_subtitle_exists,declared_ja_track,ja_metadata_filename_mismatch,en_dialogue,en_spoken,op_ed_dedup_metadata,missing_or_irregular,source_video,selected_subtitle
S02E01,LLS_s02e01_screenshots.zip,183443913,fb01f64b67234a59d860e32bbda2101ef717f6aa8b9dce744e44dbb690ec4199,PASS,884,2,Love Live! Superstar!!,1423.09,456,375,355,824,42,audio/s02e01.complete-audio.mp3,subtitles/S02E01.ja.corrected.ass,ass,True,S02E01.ja.corrected.ass,False,subtitles/S02E01.en.dialogue.ass,subtitles/S02E01.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 2\Love Live! Superstar!! - S02E01.mkv,subtitles\S02E01.ja.corrected.ass
S02E02,LLS_s02e02_screenshots.zip,165173046,ba05d45d79d6b6d5bbc16441a80aef66054439f6eaf5fc8bb688f49699871d74,PASS,831,2,Love Live! Superstar!!,1422.101,433,391,368,771,42,audio/s02e02.complete-audio.mp3,subtitles/S02E02.ja.corrected.ass,ass,True,S02E02.ja.corrected.ass,False,subtitles/S02E02.en.dialogue.ass,subtitles/S02E02.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 2\Love Live! Superstar!! - S02E02.mkv,subtitles\S02E02.ja.corrected.ass
S02E03,LLS_s02e03_screenshots.zip,170557491,ffaf60a6d1ec7765b5c30e8436d648ff9c78c2503e30321ce13e6c84336cc26e,PASS,875,2,Love Live! Superstar!!,1423.09,433,424,401,812,45,audio/s02e03.complete-audio.mp3,subtitles/S02E03.ja.corrected.ass,ass,True,S02E03.ja.corrected.ass,False,subtitles/S02E03.en.dialogue.ass,subtitles/S02E03.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 2\Love Live! Superstar!! - S02E03.mkv,subtitles\S02E03.ja.corrected.ass
S02E04,LLS_s02e04_screenshots.zip,156229197,a503fa4cde9fa884dbda329f9934d5afa6a3454f558cdfd76e2e5a69e9b9653d,PASS,773,2,Love Live! Superstar!!,1422.101,434,389,382,715,40,audio/s02e04.complete-audio.mp3,subtitles/S02E04.ja.corrected.ass,ass,True,S02E04.ja.corrected.ass,False,subtitles/S02E04.en.dialogue.ass,subtitles/S02E04.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 2\Love Live! Superstar!! - S02E04.mkv,subtitles\S02E04.ja.corrected.ass
S02E05,LLS_s02e05_screenshots.zip,164273296,cc9b0b87bef843ded5a7c9d9f627bc922795eece82f1e908b8a14d29128de5c5,PASS,761,2,Love Live! Superstar!!,1423.082,479,375,368,704,39,audio/s02e05.complete-audio.mp3,subtitles/S02E05.ja.corrected.ass,ass,True,S02E05.ja.corrected.ass,False,subtitles/S02E05.en.dialogue.ass,subtitles/S02E05.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 2\Love Live! Superstar!! - S02E05.mkv,subtitles\S02E05.ja.corrected.ass
S02E06,LLS_s02e06_screenshots.zip,207418802,b89352612260c337375d4169f853e882de18d720795f1005e4146b690fe9d20d,PASS,1079,2,Love Live! Superstar!!,1422.088,446,469,449,1007,54,audio/s02e06.complete-audio.mp3,subtitles/S02E06.ja.corrected.ass,ass,True,S02E06.ja.corrected.ass,False,subtitles/S02E06.en.dialogue.ass,subtitles/S02E06.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 2\Love Live! Superstar!! - S02E06.mkv,subtitles\S02E06.ja.corrected.ass
S02E07,LLS_s02e07_screenshots.zip,179694542,13ed4318d43eae64006d647b0a00343b4ba7cafc3882a02f818cae22951753ac,PASS,929,2,Love Live! Superstar!!,1423.082,471,404,393,865,46,audio/s02e07.complete-audio.mp3,subtitles/S02E07.ja.corrected.ass,ass,True,S02E07.ja.corrected.ass,False,subtitles/S02E07.en.dialogue.ass,subtitles/S02E07.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 2\Love Live! Superstar!! - S02E07.mkv,subtitles\S02E07.ja.corrected.ass
S02E08,LLS_s02e08_screenshots.zip,206667875,74d10c9a35690eb20b4ce1ef097580b98a4622728b5307c0b693df0642b516ac,PASS,879,2,Love Live! Superstar!!,1422.101,453,396,381,816,45,audio/s02e08.complete-audio.mp3,subtitles/S02E08.ja.corrected.ass,ass,True,S02E08.ja.corrected.ass,False,subtitles/S02E08.en.dialogue.ass,subtitles/S02E08.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 2\Love Live! Superstar!! - S02E08.mkv,subtitles\S02E08.ja.corrected.ass
S02E09,LLS_s02e09_screenshots.zip,174358412,b873d0924a0eba40c594974eb79c94d94c8daac54c71c63fbc0c0387f39b468c,PASS,876,2,Love Live! Superstar!!,1423.09,439,396,392,815,43,audio/s02e09.complete-audio.mp3,subtitles/S02E09.ja.corrected.ass,ass,True,S02E09.ja.corrected.ass,False,subtitles/S02E09.en.dialogue.ass,subtitles/S02E09.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 2\Love Live! Superstar!! - S02E09.mkv,subtitles\S02E09.ja.corrected.ass
S02E10,LLS_s02e10_screenshots.zip,204002963,dd2a99010effd2c90809ad6bb8aca96b487668d03d0d90ab8641d5475a867652,PASS,977,2,Love Live! Superstar!!,1422.08,443,416,399,912,47,audio/s02e10.complete-audio.mp3,subtitles/S02E10.ja.corrected.ass,ass,True,S02E10.ja.corrected.ass,False,subtitles/S02E10.en.dialogue.ass,subtitles/S02E10.en.spoken-dialogue.ass,True,,H:\Anime Storage\[neoDESU] Love Live! Superstar!! [Season 1-3] [BD 1080p x265 HEVC OPUS AAC] [Dual Audio]\Season 2\Love Live! Superstar!! - S02E10.mkv,subtitles\S02E10.ja.corrected.ass
