text_record_id,skin_id,slot,category,source_text,wav_filename,wav_hash,measured,sha256_actual,hash_match,sample_rate,channels,duration,manifest_duration,duration_delta,jp_chars,char_rate,active_duration,lead_silence,trail_silence,internal_inactive,pause_ratio,substantial_pauses,active_rms_dbfs,threshold_dbfs,f0_median,f0_p10,f0_p90,f0_span_st,voiced_frames,duration_seconds
103240:battle:0,103240,battle,combat,よし！やるわよ！,BREMERTON_103240_BATTLE_WARCRY_S008_7cb946f5.wav,ccf8a3e6cd5e8797eae0d91d5ba53c21bbb34b7ae6f08f1247c410ba0a024841,True,ccf8a3e6cd5e8797eae0d91d5ba53c21bbb34b7ae6f08f1247c410ba0a024841,True,44100.0,1.0,2.3560090702947845,2.35600907,2.9478464114163216e-10,6.0,4.166732280364707,1.4399773242630385,0.09,0.6710090702947844,0.17,0.10658307210031348,0.0,-16.777541430052267,-66.95857902264355,402.4571211161603,280.00149459982435,515.2552391516616,10.558232894584386,80.0,
103240:couple_encourage:0,103240,couple_encourage,relationship_specific,ボルチモア、一緒に頑張ろ？,BREMERTON_103240_COUPLE_ENCOURAGE_LINK1_S002_7cb946f5.wav,2566e6ee01bdc2c25db557ab7b80bdb12b377ae5d4370749dfc5979d8c0a60e2,True,2566e6ee01bdc2c25db557ab7b80bdb12b377ae5d4370749dfc5979d8c0a60e2,True,44100.0,1.0,2.996439909297052,2.996439909,2.970521606471266e-10,11.0,6.11118809760768,1.7999773242630386,0.08,0.6714399092970518,0.46,0.20489977728285078,1.0,-17.298643505884527,-67.31432220830818,379.54923147168995,267.7830533624629,472.22819277794576,9.821034152068027,136.0,
103240:detail:0,103240,detail,base_secretary,ちょい待ち、今これ返信してから……よし！実はアタシ、母港のお悩み相談室みたいなのをやってて、時々こうして相談されてるよ。指揮官はなにかお悩みとかない？書き込むの面倒なら、直接話してくれてもいいよ？,BREMERTON_103240_DETAIL_DETAIL_S001_cc507128.wav,bedf08564c14c0687a8d99b3715e7e53898422d85b80f3903110aa66a5f2833c,True,bedf08564c14c0687a8d99b3715e7e53898422d85b80f3903110aa66a5f2833c,True,44100.0,1.0,21.043605442176872,21.043605442,1.7687185049908294e-10,88.0,5.5820215410107705,15.764897959183674,0.09,0.6986054421768735,4.61,0.22759812392001977,6.0,-18.83465189878986,-58.676586363704466,283.86247861274563,197.6049935969577,481.2138932178867,15.408706683411456,1095.0,
103240:expedition:0,103240,expedition,base_secretary,委託組の子たちが戻ってきたわよ！はい指揮官、セルフアピールチャンス！,BREMERTON_103240_EXPEDITION_EXPEDITION_S008_cc507128.wav,db4866a97040c7c8b413590c46f15583fff6da4c28e2cfd00dd137e052a60414,True,db4866a97040c7c8b413590c46f15583fff6da4c28e2cfd00dd137e052a60414,True,44100.0,1.0,6.47140589569161,6.471405896,-3.083906463530184e-10,31.0,6.3720897713766345,4.864965986394558,0.08,0.6764058956916088,0.88,0.15398075240594924,2.0,-18.523649334504572,-63.39316467599694,379.6904555666352,218.11615717182153,546.601068700375,15.904699650881621,325.0,
103240:feeling1:0,103240,feeling1,affinity,早く元の指揮官に戻った戻ったー。…………辛いなら、アタシの胸の中で泣いちゃってもいいよ？,BREMERTON_103240_FEELING1_FEELING1_S014_cc507128.wav,b394ee40132f9beddd637c38338d6e39f03059c8fb7109524b4581b52213629f,True,b394ee40132f9beddd637c38338d6e39f03059c8fb7109524b4581b52213629f,True,44100.0,1.0,9.957324263038549,9.957324263,3.8548719771824835e-11,37.0,5.211300892982614,7.099954648526077,0.08,0.6023242630385486,2.22,0.23935309973045824,2.0,-18.860361420892612,-67.04433792940142,263.5910044972601,192.29061240450645,359.99040871715573,10.856041642107856,523.0,
103240:feeling2:0,103240,feeling2,affinity,ブレマートンのお悩み相談室へようこそ！で、今日は何を悩んでいるのかな？え、ウソ！ただの雑談？…んーそれって雑談相手がほしいってカンジじゃなくて？,BREMERTON_103240_FEELING2_FEELING2_S015_cc507128.wav,6a22e211113e47f2091b646df3ec1a85abf420d1959a72a5e8932decbac3a80d,True,6a22e211113e47f2091b646df3ec1a85abf420d1959a72a5e8932decbac3a80d,True,44100.0,1.0,17.41848072562358,17.418480726,-3.764171196962707e-10,64.0,5.19907306775521,12.309886621315194,0.08,0.683480725623582,4.48,0.268988291804263,5.0,-19.82393375534269,-66.96199123496856,314.414326841389,201.1608815678249,524.7711947666666,16.600065001135356,870.0,
103240:feeling3:0,103240,feeling3,affinity,戦闘以外で好きなことは…挨拶とか友達との交際とか、皆の相談をなーんでも聞いてあげること――んーつまりお付き合いってカンジかな？あ、今艦船通信に書き込まれた、ちょっと待ってて,BREMERTON_103240_FEELING3_FEELING3_S016_cc507128.wav,1c05e2d7e345a381f665ac2636cbe16226882f4d64ec191699c258e0e867d90e,True,1c05e2d7e345a381f665ac2636cbe16226882f4d64ec191699c258e0e867d90e,True,44100.0,1.0,20.477437641723355,20.477437642,-2.766462614545162e-10,79.0,4.88412487680689,16.174852607709752,0.09,0.6824376417233573,3.71,0.1882770870337478,4.0,-20.56771416290621,-59.623232305629244,292.50388973635563,201.119748008524,456.1120871394684,14.1760038647713,1010.0,
103240:feeling4:0,103240,feeling4,affinity,普段は指揮官がみんなの相談に乗ってるけど、アタシの前では指揮官がどんどん相談してくれていいわよ。あっ、恥ずかしいなら別に艦船通信でDMしてくれてもいいよ？,BREMERTON_103240_FEELING4_FEELING4_S017_cc507128.wav,bc4fab4269aa637ec2876387c9da97b4413b2c27d71ec80db2519fab7df6fb51,True,bc4fab4269aa637ec2876387c9da97b4413b2c27d71ec80db2519fab7df6fb51,True,44100.0,1.0,13.85154195011338,13.85154195,1.1337952798839979e-10,71.0,6.356350260051889,11.169931972789115,0.1,0.696541950113378,1.96,0.15013404825737264,3.0,-19.50259308181734,-51.32659509587576,274.8369603234998,203.18285974547229,516.3862622783538,16.148063004380283,809.0,
103240:feeling5:0,103240,feeling5,affinity,指揮官、アタシのDM確認してくれた？もう既読スルーしちゃうんだから~アタシさ、どんな返しされるの、ちょっと…えーと、ちょっとドキドキしてるよ？指揮官なら上手い返し方、わかるよね？えへへ,BREMERTON_103240_FEELING5_FEELING5_S018_cc507128.wav,8d693af62e559d4e12198ab3a5671c71611fe84cad1a473dcc6647a2186ec348,True,8d693af62e559d4e12198ab3a5671c71611fe84cad1a473dcc6647a2186ec348,True,44100.0,1.0,22.55092970521542,22.550929705,2.1541879391406837e-10,80.0,5.017293164649131,15.94485260770975,0.09,0.6859297052154218,6.01,0.27600459242250286,10.0,-20.9102687849538,-65.0601610388643,275.7218042323004,193.18116495906636,521.21042471822,17.18293800391688,998.0,
103240:home:0,103240,home,base_secretary,ふぅ…あっ、指揮官今、サボろうと思ってたでしょ？へへ、別にいいよ。秘書艦のアタシも一緒ならしばらく誰も気づかないっしょ,BREMERTON_103240_HOME_HOME_S030_cc507128.wav,96d1ff803c116d48791179b865f22f610a604d75957018439a45e0c2f1793609,True,96d1ff803c116d48791179b865f22f610a604d75957018439a45e0c2f1793609,True,44100.0,1.0,13.7456462585034,13.745646259,-4.966000943795734e-10,53.0,5.480920076071128,9.669909297052154,0.09,0.6206462585034007,3.47,0.2662063674721903,5.0,-18.772287303800343,-65.53824273572894,301.04693065565993,195.23583538485678,496.8921564909093,16.172578634176553,608.0,
