scene	adv	line_index	start	relative_start	duration	rms_db	crest_db	pitch_p10	pitch_median	pitch_p90	pitch_span_st	energy_p10	energy_median	energy_p90
DIA001_Dear023	adv_dear_hski_023.txt	1	5.1666663964	5.1666663964	2.199	-24.9057706493349	15.368371155818831	115.10791778564453	197.53086853027344	251.19046020507812	13.509535204305	-41.88511657714844	-31.216026306152344	-20.09210205078125
DIA001_Dear023	adv_dear_hski_023.txt	2	7.6989993165	7.6989993165	2.822	-24.035424798693708	14.13939241400271	115.94203186035156	148.1481475830078	213.33334350585938	10.556469591635473	-51.01819610595703	-28.505449295043945	-19.52812385559082
DIA001_Dear023	adv_dear_hski_023.txt	3	10.8276658974	10.8276658974	2.019	-26.677210142731973	17.43424251546649	130.081298828125	179.77528381347656	219.17808532714844	9.03227986933104	-52.54387283325195	-39.057437896728516	-21.356494903564453
DIA001_Dear023	adv_dear_hski_023.txt	4	13.2533310477	13.2533310477	3.583	-24.40868695100655	15.228657532147878	126.984130859375	170.21275329589844	275.862060546875	13.431586083806728	-44.019004821777344	-30.0216007232666	-19.355825424194336
DIA001_Dear023	adv_dear_hski_023.txt	5	20.4763314228	20.4763314228	1.776	-26.85716524687207	14.799895050028681	98.15950775146484	131.1475372314453	200.0	12.321600968034769	-47.321197509765625	-36.04958724975586	-21.797698974609375
DIA001_Dear023	adv_dear_hski_023.txt	6	22.6590003759	22.6590003759	2.993	-23.974330892440918	13.333464166224962	125.9842529296875	216.21621704101562	266.66668701171875	12.981530282707801	-48.75971221923828	-24.850873947143555	-20.451108932495117
DIA001_Dear023	adv_dear_hski_023.txt	7	26.0520008051	26.0520008051	6.26	-25.071908425164963	14.892214692717289	107.38255310058594	134.4537811279297	258.06451416015625	15.179665943041735	-49.369136810302734	-33.141578674316406	-20.12787628173828
DIA001_Dear023	adv_dear_hski_023.txt	8	32.8386695285	32.8386695285	3.576	-25.008771893129197	15.480858509707506	86.53349304199219	124.031005859375	197.53086853027344	14.288970940205722	-49.185890197753906	-38.07911682128906	-19.942663192749023
DIA001_Dear023	adv_dear_hski_023.txt	9	36.868004019	36.868004019	5.7	-25.227372953906865	15.343886417453609	83.33333587646484	139.74066162109375	258.06451416015625	19.569193623598004	-46.933387756347656	-35.729736328125	-19.807355880737305
DIA001_Dear023	adv_dear_hski_023.txt	10	42.9213362365	42.9213362365	7.994	-25.508839083282577	16.017435226905008	117.64705657958984	150.23805236816406	228.57142639160156	11.498158056767824	-48.27911376953125	-38.039642333984375	-20.393856048583984
DIA001_Dear023	adv_dear_hski_023.txt	11	51.3753374826	51.3753374826	2.622	-24.172719894164526	14.861173922283806	82.90155029296875	130.6318359375	179.77528381347656	13.40068441483329	-47.30266571044922	-27.88370704650879	-19.83009147644043
DIA001_Dear023	adv_dear_hski_023.txt	12	54.8753397714	54.8753397714	1.506	-23.90350126846167	14.83331531307523	132.2313995361328	146.7889862060547	146.7889862060547	1.8081471150753679	-50.45530319213867	-29.965869903564453	-19.214229583740234
DIA001_Dear023	adv_dear_hski_023.txt	13	57.3420089812	57.3420089812	5.342	-26.798964866012707	17.396458601904325	94.2290267944336	130.081298828125	170.21275329589844	10.237148247258204	-52.91603469848633	-43.22611618041992	-21.575939178466797
DIA001_Dear023	adv_dear_hski_023.txt	14	63.2753420602	63.2753420602	3.283	-26.020368754658463	15.656516825008616	82.47422790527344	117.6725082397461	229.5652313232422	17.72266660807906	-47.846923828125	-36.388160705566406	-20.50994873046875
DIA001_Dear023	adv_dear_hski_023.txt	15	68.9420084724	68.9420084724	3.797	-23.41820122939093	13.413015516945947	170.59423828125	266.66668701171875	380.952392578125	13.908501537870098	-33.548789978027344	-22.968280792236328	-20.470874786376953
DIA001_Dear023	adv_dear_hski_023.txt	16	73.1086827685	73.1086827685	1.257	-23.25391134332485	13.664263511857875	124.031005859375	235.2941131591797	333.3333435058594	17.115177848921224	-43.770259857177734	-25.98880958557129	-19.066526412963867
DIA001_Dear023	adv_dear_hski_023.txt	17	75.1790274935	75.1790274935	2.98	-25.33545372494651	15.103638580543905	144.14414978027344	266.66668701171875	347.8260803222656	15.250245916386723	-48.554405212402344	-28.98702621459961	-20.83089256286621
DIA001_Dear023	adv_dear_hski_023.txt	18	78.4723607982	78.4723607982	3.726	-24.061945882761847	14.939674430896297	146.7889862060547	285.71429443359375	326.5306091308594	13.84169414767832	-40.115570068359375	-26.64191246032715	-19.77964210510254
DIA001_Dear023	adv_dear_hski_023.txt	19	92.3516794578	92.3516794578	1.954	-25.226453923897495	14.98372601197751	132.2313995361328	271.1864318847656	320.0	15.300085279942838	-61.60554504394531	-33.24000549316406	-20.311660766601562
DIA001_Dear023	adv_dear_hski_023.txt	20	97.7923495704	97.7923495704	4.863	-24.74630069502146	15.513457948528039	175.8241729736328	223.78717041015625	275.862060546875	7.797763493198467	-43.528526306152344	-27.692604064941406	-20.415245056152344
DIA001_Dear023	adv_dear_hski_023.txt	21	111.2353456158	111.2353456158	5.31	-25.417773059107283	16.01271485802364	116.78832244873047	168.4210662841797	266.66668701171875	14.293698979181961	-42.03367614746094	-31.700590133666992	-20.186086654663086
DIA001_Dear023	adv_dear_hski_023.txt	22	116.9586775376	116.9586775376	8.017	-25.853523350568054	17.21039087119628	87.43169403076172	131.1475372314453	250.0	18.188398051153342	-45.99895095825195	-37.25949478149414	-20.111948013305664
DIA001_Dear023	adv_dear_hski_023.txt	23	125.5490144886	125.5490144886	2.361	-24.623617266953858	15.330307773544153	116.78832244873047	172.0430145263672	301.8868103027344	16.44134037453979	-42.13637161254883	-29.722885131835938	-19.374042510986328
